[2025-04-24 23:46:10] INFO | uav_logger | Lancement du script : attacks/gps_spoofing.py
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #32 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #33 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #34 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #35 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #36 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #37 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:43] INFO | uav_logger | Paquet DoS #38 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #39 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #40 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #41 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #42 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #43 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #44 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #45 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #46 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #47 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #48 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #49 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #50 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #51 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | GPS normal : 48.85003, 2.34981
[2025-04-24 23:58:44] INFO | uav_logger | Injection GPS Spoof #20 : Latitude=48.87609852640117, Longitude=2.3819655285199923, Altitude=29.85784547749104
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #52 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #53 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #54 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #55 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #56 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #57 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:44] INFO | uav_logger | Paquet DoS #58 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #59 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #60 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #61 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #62 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #63 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #64 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #65 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #66 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #67 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #68 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #69 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #70 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #71 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | GPS normal : 48.84997, 2.35017
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #72 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #73 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #74 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #75 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #76 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #77 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:45] INFO | uav_logger | Paquet DoS #78 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #79 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #80 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #81 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Fin de l’attaque GPS Spoofing.
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #82 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #83 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #84 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #85 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #86 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #87 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #88 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #89 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #90 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #91 envoyé à 192.168.0.100:14550
[2025-04-24 23:58:46] INFO | uav_logger | GPS normal : 48.85000, 2.34990
[2025-04-24 23:58:46] INFO | uav_logger | Paquet DoS #92 envoyé à 192.168.0.100:14550
